Station,ETRS-X,ETRS-Y,ETRS-Z
(m),(m),(m),
CS001LBA,3826923.9,460915.1,5064643.2
CS001HBA,3826938.2,460938.2,5064630.4
CS001HBA0,3826896.6,460979.1,5064657.9
CS001HBA1,3826979.8,460897.3,5064602.9
CS002LBA,3826577.5,461022.6,5064892.5
CS002HBA0,3826601.4,460953.1,5064880.9
CS002HBA1,3826566.0,460957.8,5064907.0
CS003LBA,3826517.1,460929.7,5064946.2
CS003HBA0,3826471.7,460999.8,5064973.9
CS003HBA1,3826518.2,461034.9,5064935.9
CS004LBA,3826654.6,460939.3,5064842.2
CS004HBA0,3826586.0,460865.5,5064900.3
CS004HBA1,3826579.9,460917.2,5064900.2
CS005LBA,3826669.1,461069.2,5064819.5
CS005HBA0,3826701.6,460988.9,5064802.4
CS005HBA1,3826631.6,461021.5,5064852.0
CS006LBA,3826597.1,461144.9,5064866.7
CS006HBA0,3826654.2,461136.1,5064824.7
CS006HBA1,3826612.9,461080.0,5064860.7
CS007LBA,3826533.8,461098.6,5064918.5
CS007HBA0,3826479.1,461083.4,5064960.9
CS007HBA1,3826538.4,461169.4,5064908.6
CS011LBA,3826667.5,461285.5,5064801.3
CS011HBA,3826643.6,461290.5,5064818.8
CS011HBA0,3826637.8,461227.0,5064828.9
CS011HBA1,3826649.4,461353.9,5064808.7
CS013LBA,3826346.7,460791.8,5065086.9
CS013HBA,3826360.9,460814.9,5065074.1
CS013HBA0,3826319.4,460855.8,5065101.6
CS013HBA1,3826402.5,460773.9,5065046.6
CS017LBA,3826462.5,461501.6,5064935.6
CS017HBA,3826452.8,461529.7,5064940.3
CS017HBA0,3826405.5,461507.1,5064977.8
CS017HBA1,3826500.2,461552.2,5064902.7
CS021LBA,3826406.9,460538.3,5065064.6
CS021HBA,3826416.6,460510.3,5065059.9
CS021HBA0,3826463.9,460532.8,5065022.4
CS021HBA1,3826369.2,460487.7,5065097.5
CS024LBA,3827161.6,461409.1,5064420.8
CS024HBA,3827171.2,461381.1,5064416.1
CS024HBA0,3827218.6,461403.6,5064378.5
CS024HBA1,3827123.9,461358.5,5064453.7
CS026LBA,3826391.3,461869.5,5064955.7
CS026HBA,3826377.0,461846.4,5064968.4
CS026HBA0,3826418.6,461805.5,5064940.9
CS026HBA1,3826335.5,461887.4,5064996.0
CS028LBA,3825600.8,461260.3,5065604.1
CS028HBA,3825615.1,461283.4,5065591.3
CS028HBA0,3825573.5,461324.3,5065618.8
CS028HBA1,3825656.7,461242.4,5065563.8
CS030LBA,3826014.7,460387.1,5065372.1
CS030HBA,3826000.4,460364.0,5065384.9
CS030HBA0,3826042.0,460323.1,5065357.4
CS030HBA1,3825958.8,460404.9,5065412.4
CS031LBA,3826440.4,460273.5,5065063.3
CS031HBA,3826430.8,460301.5,5065068.0
CS031HBA0,3826383.4,460279.0,5065105.6
CS031HBA1,3826478.1,460324.1,5065030.4
CS032LBA,3826892.0,460387.6,5064715.0
CS032HBA,3826906.2,460410.7,5064702.2
CS032HBA0,3826864.7,460451.6,5064729.7
CS032HBA1,3826947.8,460369.7,5064674.7
CS101LBA,3825843.4,461704.1,5065381.2
CS101HBA,3825853.0,461676.1,5065376.5
CS101HBA0,3825900.3,461698.6,5065339.0
CS101HBA1,3825805.6,461653.6,5065414.1
CS103LBA,3826304.7,462822.8,5064934.1
CS103HBA,3826290.4,462799.7,5064946.9
CS103HBA0,3826332.0,462758.8,5064919.4
CS103HBA1,3826248.8,462840.6,5064974.4
CS201LBA,3826709.3,461913.4,5064713.6
CS201HBA,3826685.4,461918.4,5064731.1
CS201HBA0,3826679.7,461854.9,5064741.1
CS201HBA1,3826691.2,461981.8,5064721.0
CS301LBA,3827413.3,460992.0,5064269.7
CS301HBA,3827437.1,460987.1,5064252.2
CS301HBA0,3827442.9,461050.5,5064242.1
CS301HBA1,3827431.4,460923.6,5064262.3
CS302LBA,3827946.3,459792.3,5063989.8
CS302HBA,3827932.0,459769.2,5064002.5
CS302HBA0,3827973.6,459728.3,5063975.0
CS302HBA1,3827890.5,459810.2,5064030.1
CS401LBA,3826766.5,460100.1,5064836.2
CS401HBA,3826790.4,460095.1,5064818.7
CS401HBA0,3826796.1,460158.6,5064808.7
CS401HBA1,3826784.6,460031.7,5064828.8
CS501LBA,3825626.2,460641.8,5065640.5
CS501HBA,3825616.6,460669.8,5065645.2
CS501HBA0,3825569.2,460647.3,5065682.8
CS501HBA1,3825663.9,460692.3,5065607.6
RS106LBA,3829261.8,469162.0,5062137.1
RS106HBA,3829206.0,469142.2,5062180.7
RS205LBA,3831439.0,463435.1,5061025.2
RS205HBA,3831480.1,463487.2,5060989.6
RS208LBA,3847810.4,466929.4,5048357.0
RS208HBA,3847753.7,466962.5,5048397.0
RS210LBA,3877847.8,467456.6,5025437.3
RS210HBA,3877828.0,467536.3,5025445.3
RS305LBA,3828721.2,454781.1,5063850.8
RS305HBA,3828733.1,454692.1,5063850.1
RS306LBA,3829792.2,452829.5,5063221.3
RS306HBA,3829771.6,452761.4,5063242.9
RS307LBA,3837941.3,449560.4,5057381.0
RS307HBA,3837964.9,449626.9,5057357.3
RS310LBA,3845433.4,413580.6,5054755.9
RS310HBA,3845376.7,413616.2,5054796.1
RS406LBA,3818468.0,451974.3,5071790.3
RS406HBA,3818425.3,452019.9,5071817.4
RS407LBA,3811596.3,453444.4,5076770.2
RS407HBA,3811649.9,453459.6,5076728.7
RS409LBA,3824756.2,426178.5,5069289.6
RS409HBA,3824813.0,426130.0,5069251.5
RS503LBA,3824090.8,459438.0,5066897.9
RS503HBA,3824139.0,459476.6,5066858.3
RS508LBA,3797202.5,463087.2,5086604.8
RS508HBA,3797136.9,463114.1,5086651.0
RS509LBA,3783579.5,450178.6,5097830.6
RS509HBA,3783537.9,450129.7,5097865.9
DE601LBA,4034038.6,487026.2,4900280.1
DE601HBA,4034101.9,487012.4,4900230.2
DE602LBA,4152561.1,828868.7,4754356.9
DE602HBA,4152568.4,828788.8,4754361.9
DE603LBA,3940285.3,816802.0,4932392.8
DE603HBA,3940296.1,816722.5,4932394.2
DE604LBA,3796327.6,877591.3,5032757.3
DE604HBA,3796380.3,877613.8,5032712.3
DE605LBA,4005681.7,450968.3,4926457.7
DE605HBA,4005681.4,450968.3,4926457.9
FR606LBA,4323980.2,165608.4,4670302.8
FR606HBA,4324017.1,165545.2,4670271.1
SE607LBA,3370287.4,712053.6,5349991.2
SE607HBA,3370272.1,712125.6,5349990.9
UK608LBA,4008438.8,-100310.1,4943735.6
UK608HBA,4008462.3,-100376.9,4943716.6